2022-01-20 10:03:53,962 [13] INFO  SapientDatabase.MiddlewareLogDatabase Log Database Latency, 0
2022-01-20 10:03:58,976 [Server Receive Thread] INFO  SapientMiddleware.SapientMessageParser SensorTask found at index 19:24
2022-01-20 10:03:58,976 [Server Receive Thread] INFO  SapientMiddleware.SapientMessageParser Null Terminator found
2022-01-20 10:03:58,976 [Server Receive Thread] INFO  SapientMiddleware.SapientMessageParser SensorTask received
2022-01-20 10:03:58,976 [Server Receive Thread] INFO  SapientMiddleware.HldmmDataAgentTaskingProtocol Sensor Task Message Received
2022-01-20 10:03:58,976 [13] INFO  SapientDatabase.MiddlewareLogDatabase Log Database Latency, 0
2022-01-20 10:03:58,976 [Server Receive Thread] INFO  SapientMiddleware.SapientProtocol Sensor Task Ack Forwarded
2022-01-20 10:04:04,022 [13] INFO  SapientDatabase.MiddlewareLogDatabase Log Database Latency, 28
2022-01-20 10:04:09,083 [7] INFO  SapientDatabase.MiddlewareLogDatabase Log Database Latency, 0
2022-01-20 10:04:14,098 [7] INFO  SapientDatabase.MiddlewareLogDatabase Log Database Latency, 0
2022-01-20 10:04:17,456 [Server Receive Thread] INFO  SapientMiddleware.SapientMessageParser Alert found at index 19:24
2022-01-20 10:04:17,456 [Server Receive Thread] INFO  SapientMiddleware.SapientMessageParser Null Terminator found
2022-01-20 10:04:17,456 [Server Receive Thread] INFO  SapientMiddleware.SapientMessageParser Alert received
2022-01-20 10:04:17,456 [Server Receive Thread] INFO  SapientMiddleware.HldmmDataAgentClientProtocol Alert Message Received:
2022-01-20 10:04:17,472 [Server Receive Thread] INFO  SapientMiddleware.SapientProtocol Alert Forwarded
2022-01-20 10:04:19,128 [7] INFO  SapientDatabase.MiddlewareLogDatabase Log Database Latency, 18
2022-01-20 10:04:24,314 [13] INFO  SapientDatabase.MiddlewareLogDatabase Log Database Latency, 0
2022-01-20 10:04:29,328 [7] INFO  SapientDatabase.MiddlewareLogDatabase Log Database Latency, 0
2022-01-20 10:04:30,125 [Server Receive Thread] INFO  SapientMiddleware.SapientMessageParser AlertResponse found at index 19:24
2022-01-20 10:04:30,125 [Server Receive Thread] INFO  SapientMiddleware.SapientMessageParser Null Terminator found
2022-01-20 10:04:30,125 [Server Receive Thread] INFO  SapientMiddleware.SapientMessageParser AlertResponse received
2022-01-20 10:04:30,125 [Server Receive Thread] INFO  SapientMiddleware.HldmmDataAgentTaskingProtocol Alert Response Message Received
2022-01-20 10:04:30,125 [Server Receive Thread] INFO  SapientMiddleware.SapientProtocol Alert Response Forwarded
2022-01-20 10:04:34,374 [7] INFO  SapientDatabase.MiddlewareLogDatabase Log Database Latency, 29
